Review,Sentiment
Парковки нет,negative
"Карак чай не похож ни на дубайский ни на оманский, паль в общем, кислая какая-то. Чай магриби мне рекомендовали как чай с 5 ю видами мяты, в итоге продали чай с мятным сиропом(( Если не умеете готовить чай, то лучше уж просто черный и зелёный подавать. СКАМ на мусульманских традициях",negative
"Очень люблю карак чай, но когда его быстро-быстро готовят, вкус другой 🫠",positive
"Горячие напитки у вас отличные, очень нравятся!
 
 А вот с айс-напитками есть небольшая проблема: кажется, что в стакане слишком много льда и совсем мало напитка.",positive
"Любителям чая и вкусных закусок посвящается! Сейчас их чапати стали еще вкуснее, I DONT KNOW WHY, But it is, мне больше по дцше чай Сулеймани и вам рекомендую",positive
👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼,positive
"Самый вкусный карак в городе , потому что без сахара !🫶🏻 отдельное уважение управляющему данной точки . Всегда слышит обратную связь , это очень важно . Джазакаллаху Хайран .",positive
"Мой самый любимый напиток, учитывая, что я не пью ни чай, ни кофе наши местные.
 Очень удобно после прогулки рано утром, бодрит, запах уносит в далекие уголки Аравии.
 Спасибо, что вы стали работать с 8,то прям в сердечко, со школой перенесла прогулку на утро, возвращаясь, можно порадовать себя ❤️",positive
"Самый вкусный чай и ребята, которые наливают тоже хорошие 🙏🏼🙏🏼🙏🏼",positive
"Хамское отношение, в эмиратах на головы 2 выше и раз в 8 дешевле. В добавок на вкус Липтон с лимоном и сгущёнкой",negative
Очень вкусный необычный чай,positive
One love!!!,positive
Симпатичное местечко,positive
Отличное место. Посидели классно. Атмосферно,positive
"Локация чуть не удобная. Можно сказать обычное место, на раз стоит попробовать. Цены чуть дорогие, выбор большой. По мне, специфический чай со специями!",neutral
"Концепция крутая, вкусно. Единственное, сервис грубый, все впечатление испортил",negative
"Вкусненько, атмосферненько. Флэшбэчит сразу в Эмираты или Саудию (кто был и жил, тот поймет). Персонал общительный, доброжелательный. Всё ништяк, цены немного выше среднего. Рекомендую!",positive
"Кухня норм, но сервис 0, по этому одна звезда. В целом ожидаешь большего за такие цены",negative
"кассиры Абдухаким Абдурахим и Ильхам бомбовые сотрудники, очень благодарен таким людям, готовят самый вкусный карак💋💋💋",positive
"Карак чай - это искусство. Вкусный чаи, советую.",positive
"Понравилась атмосфера, сидеть на ковриках приятно, можно вытянуть ноги сняв обувь 🤩🤩🤩 атмосфера располагает к расслаблению. Разнообразие чая, который можно заказать, не спеша оценив вкус, разбавит ваше настроение добавив нотки спокойствия.",positive
Самая вкусная вкусняшка) карак чай это любовь 💕,positive
"Кофе отличный (проверили и экспрессо, и бамбл 🧡), атмосфера очень уютная, классно посидели на коврах всей семьей",positive
Вкусный чай,positive
Одно из самых атмосферных и приятных мест города❤️ ❤️ Пить любимый кофе и читать книжку на траве у речки🩶 что может быть лучше😌,positive
Самый лучший чай который я пил. Спасибо большое. Буду клиентом. Можете поставить лавочки. Не где сесть если без машины. А так к чаю нет претензий.,positive
"was walking by and got karak tea, they have amazing service, amazing chapatis and overall a great location after a good stroll around terrenkur",positive
"Часто проходила мимо и решила попробовать караке чай, очень понравилось! рекомендую",positive
"Прекрасное заведение чаи и кофе шикарные , обязательно советую попробовать 😊",positive
Горячии шоколад был теплый и не так уж вкусный . Ждал более 15 минут,negative
