review,label
Странный смузи и вкусные бельгийские вафли) 🧇🧃,good
"Все понравилось кухня вкусная спасибо персоналу
Даже можно отмечать мероприятия на большую компанию",good
Кухня на 3,neutral
"Заказала фетучини с курицей и грибами, и она оказалась немного переваренной – текстура была слишком мягкой, без привычной упругости. Хотелось бы, чтобы паста оставалась более аль денте.",good
"Блин у вас ,всё очень понравилось , но особенно впечатлил кальян - вкус, дымность , подача , все на высшем уровне! Огромное спасибо вашему кальянщику Елжану за мастерство и внимание к деталям . Видно , что человек действительно знает свое дело. 🫶🏻",good
Вкусно и цена демократичная,good
"Всё очень вкусно,поварам респект!Есть блюда на любой вкус,что очень радует.Особенно хочется отметить мозговые косточки с фирменным салатом,вкус обалденный!А жареный банан в кляре оставил приятные впечатления,всем советую попробовать. Обслуживание немного хромает,но ради такой вкусной еды точно стоит прийти👍🏻👍🏻👍🏻",good
"Не в первый раз делаю заказы, очень мне нравится ресторан Dam. Спасибо большое вам за вкуснейший плов, нигде такого плова не пробовала! Отличный, вежливый персонал, кухня супер, шев повар лучший! Буду у вас и в дальнейшем заказывать, всем рекомендую. Спасибо Вам!!!",good
"Бешбармак и плов обалденный🥰😋
Советую!",good
Очень все классно,good
"Уютное место. Приятный антураж, хорошее обслуживание. Интересный выбор блюд восточной кухни, большие порции! Также радуют кальяны - хороший выбор миксов, лёгкие и дымные забивки. Рады возвращаться сюда =)",good
"Красивый ресторан, очень вкусно готовят. Спасибо девочкам за хорошее обслуживание ❤️
Рекомендую попробовать Стейк Рибай.",good
"Отдельное спасибо хостесу, отличный профессионализм, прошу выдать пермию Хостесу!",good
"Тамақтары өте жақсы , тұрақты клиентпін уже 🩵",good
За кальян и крутую админшу! 🌸🫶,good
"Заказали через глово , лагман по домашнему который отдает сладким вкусом и на этом все, нет никакого другого вкуса, есть не возможно, второе блюдо Нарын в котором тесто не доверенное , и бульон не наваристым, и были мини чебуреки единственное что было более менее, в общем итог еда безвкусная!!!",bad
"Сегодня впервые посетили это кафе, и впечатления остались исключительно положительные! Еда просто изумительная — все подают с пылу с жару, так что будьте осторожны, чтобы не обжечься. Это действительно добавляет шарма и уюта. Особо хочется отметить уборную: очень чисто, уютно, и все предусмотрено для комфортного ухода. Сюда точно хочется вернуться!",good
"Лагман гуйру на 3 бала чуть дальше рядом со станции метро Москва Карабала делает лучше и дешевле! Тесто очень мягкое, оно должно быть твёрдым, далее официант вместе с гуйру Лагман предлагает незаметно чай за 800 тенге и хлеб за 450 тенге и акция, что гуйру Лагман за 1290 тенге уже не работает и ты платишь за всё почти 3000 тенге. Но самое ужасное, что Гуйру Лагман никакой! Деньги и время можно простить ещё, но люди приходят по рекламе от тик ток, а там всё как во многих забегалавках!",neutral
"Өте дамәмді жане әдемі жер 🤤
Хостес териде адеми кыздар екен маган барә унады🫧🤍",good
"Еламанның қызы күшті қарсы алды Өте жақсы қызымет көрсетті ✅
Десерт пен чай жақсы кетті 😁
Барлығы үшін Дәм ресторанынына алғасым шексіз ✨",good
Спасибо. Очень понравилось. Сидели целой компанией. Официант Антон очень терпеливо отнесся к нашей нерешительной подруге и помог выбрать самое вкусное блюдо - щечки с картошкой.,good
"Барлыгы кушти.
Кухня дамди кушти атмосфера
Хостос кыз жаксы карсы алды.",good
"Хорошее обслуживание,вкусная кухня . Официант Антон понравился и вообще красивый парень",good
"Отлично посидели,официант Антон хорошо обслужил 👍🏼",good
"Это не ресторан, а просто обычная столовая, кафешка, где очень накурено, запах отвратительный стоит в помещении, которое не проветривается, вентиляция воздуха видимо отсутствует. Гардероба нет, вешалки практически отсутствуют. Верхняя одежда у всех на спинках стульев. Неуютно. Кроме того, внутри открыто курят кальян, вейпы, несмотря на то, что там сидят и семьи с детьми, и не только посетители, но и один из сотрудников курил, сильно дымя, в подсобном помещении, которое видно из зала, из которого дым шел в зал. Когда я указала на него менеджеру зала, куривший сотрудник, отмахнувшись, огрызнулся на меня. На мое замечание старший менеджер никак не отреагировал, сказав, ну что мол я могу поделать. Были в этом ресторане около 17:00ч. Что понравилось - это еда, повар хороший. Заказали разные лагманы, сырные хычины, баурсаки, салат из огурцов с кешью, ягодный чай. Все вкусно. Обслуживание среднее, официанты вежливые, но на столах не хватало приборов, не было салфеток. Вряд ли в следующий раз придём в это заведение, были в первый раз, хотя живём рядом.",bad
"Еда вкусная, официанты вежливые, но не совсем внимательные (пришлось самим попросить ложки для лагманов и салфетки) Однако, курят кальян в основном зале, что запрещено законом. Есть некурящая зона - банкетный зал, который недоступен, когда идёт мероприятие. Возле кухни сотрудник (видимо отвечающий за кальян) парил, когда ему сделали замечания, грубо ответил. Стоял ужасный запах в зале, душновато. Стоит предупреждать своих посетителей, так как есть аллергия на запахи.",bad
"Нам принесли 3 чека.
ещё у вас есть qr,но нам попросили сделалать перевод.обратно позвали менеджера потом qr ом оплатили
Зачем все это?",bad
Ешким казакша билмейди👎🏻,bad
Хорошее обслуживание и вкусно,good
"Здравствуйте, всегда многие рестораны просят оставить отзыв, но данное заведение не просили и не навязывали нам касательно отзыва в 2ГИС, что очень приятно. 04 января проводили в банкетном зале семейное мероприятие «Қырқынан шығару», очень удобно отмечать когда число гостей 30-40. Тепло, уютно, все чисто, спасибо большое администратору Сымбат за организацию нашего праздника, официантам, особенно повару. Кухня очень вкусная, наши гости остались в восторге, ресторан соответствует своему названию. Желаю держать марку, так как не всем ресторанам удается это. Сымбат администратор учла все наши пожелания, всегда была на связи и оперативно реагировала во время банкета, спасибо большое. Однозначно мы будем отмечать наши праздники и мероприятия у вас.",good
"администратор Сымбат глупая как бревно !!! Забронировала один и тот же стол на одни и те же даты на одно и то же время !!
Испортила всей моей семье настроение и опозорила меня перед всеми !!!!
Хочу написать жалобу конкретно на нее и чтобы ее уволили !!!!!",bad
"Шикарное место, классная атмосфера😍
Кальянный мастер по имени Елжан знает толк в своём деле💞 приятный персонал и обслуживание на уровне.",good
"Пришли из-за хороших отзывов. Чисто, уютно, супер милая и заботливая девушка официантка, быстрая подача блюд. Но по кухне сложно поставить хорошую оценку. Заказали несколько блюд, порции были большие, вкусно, мяса много, но вот мозговые косточки это был просто какой-то тихий ужас. В порции 3 кости, все разного размера, одна кость была тупо пустой, потому-что была маленькая и весь мозг пока запекался тупо испарился, в остальных двух можно было несколько ложек наковырять, сам мозг вообще безвкусный, как-будто ешь кусок жира. Это блюдо нужно просто убрать из меню, испортило все впечатление, просто рука не поднялась поставить оценку ниже, так как остальные блюда были вкусные и сервис на уровне.",good
"Очень красивое, уютное место
Кухня 10/10",good
"Очень приятное место! Блюда очень вкусные, порции большие! Обслуживание очень внимательное! Спасибо за прекрасный вечер!",good
Есть отдельные места для курящих и не для курящих,good
"Отличный ресторан, официанты вежливые , еда вкусная!",good
"Неге қазақ тілінде қызмет, жарнама, мәзір жоқ қазақ тілінде қызмет көрсетіңдер",bad
"В Инстаграм пару дней назад увидела рекламу, что в ресторане с 12 до 18 часов в будни можно отведать гуйру лагман со скидкой, порция 1290 тенге.
Поскольку живу недалеко, сегодня решила зайти. Понравились обстановка, обслуживание, праздничное оформление зала, размер порции. Однозначно вернусь уже с семьёй.
Спасибо за теплый прием",good
"Постоянно бываю здесь, очень вежливые люди работают. Кухня хорошая. Ардак, спасибо вам.",good
Вкусно и тепло,good
Кирген кезде еки кыз отырады сол кыздарды жумыстан шыгаруды отинемин.Кирип келсен аркимге прикол устап отырады.Негизи завидение керемет.Тамактары жаксы.,bad
"Не жалею что посветил,всем советую попробовать тут бесбармак😍кухня 100/10,госпожа Сания 1000/10,умная,умеет общаться с людьми,встретила меня с хорошой атмосферой,молодцы😍👍🏻",good
"Кухня на высоком уровне, персонал очень вежливый особенно Сания. Кальян на высшим уровне.",good
