Review,label
фотоға адемы жер,positive
Очень круто но очередь большая,positive
"Приятное место для прогулок, с мужем часто посещаем, нравится",positive
❤️😎,positive
Атрикционы мощные прям адреналин😅🔥,positive
Очень красивый парк аттракционов.,positive
15.07.2024🥹🥹❤️,positive
"классное место, цены завышенные, но того стоит💘",positive
Мой кайф детства,positive
Весело провели время тут но очереди на карусели и т.д просто все портят,positive
"Офигенное место, ездили летом всем очень понравилось",positive
Самый клёвый парк✨️🎈,positive
чики чики бумбая😋,positive
Место топчик 😃🤟🏻,positive
"Парк хороший, но цены слишком завышенные.",neutral
лучший парк аттракционов,positive
"Вся семья в восторге, за хорошим настроением то только сюда",positive
,positive
"Очень классный парк,но ценыы..",positive
Tvare чо так дорого а так там все топ,positive
Хз не оч оценку этих мальчиков дада фото теста и однопал ожидал одежд л,negative
,positive
Лучший парк,positive
АТТРАКЦИОНЫ САМЫЙ ЛУЧШИЙ,positive
Кайф кайф обожаю,positive
Все дорого,neutral
"Классно, чтобы хорошо провести время с друзьями 😍",positive
,positive
Уақытты қызықты өткізуге таптырмас жер.Алайда ауа-райына байланысты ақшамыз күйіп кеткені болмаса🫠,negative
Все имба ващее,positive
еда не кайф да и дорого с каждым годом,neutral
классные аттракционы😍,positive
аттракционов много и такие интересные 🙏🙏,positive
,neutral
,negative
,positive
,positive
"Ну, и цены на билет…
Внутри нет новых аттракционов, а за что платим та?",neutral
"Атракционы прикольные но интересных мало и уже давно старые, а еще иногда не работают некоторые аттракционы",positive
Я ПОСЛЕ РОМАШКИ ОБРЫГАЛАСЬ а так люблю фентази,positive
👏👏классный парк,positive
"Аттракционы классные , очередь огромная и в медпункте вместо того чтобы дать таблетки от тошноты дали нашатырь!",positive
Покатались на всем что можно было! Красиво классно весело провели время и особенно понравилось машинки и паровозик и колесо обозрения,positive
Мне очень понравилось и деткам покатались везде очень хорошо отдохнули! Весело и интересно провели время с семьёй! Детям понравится ! И цены хорошие,positive
уф ьам бесплатно мне дали со кайфом,positive
,neutral
"Все аттракционы старые, очень опасно ⛔️",neutral
негызы кайф акшан болса бирак очередь 1 гасыр кутесн 😔,positive
Я один раз там умер,positive
Самый лучший парк в Казахстане 💓,positive
Ажжж все стрессы оставили здесь,positive
Немножко дороговато. Слегка устарели аттракционы.,positive
"писец на одном актрациане чуть сердце не остановилось ,ребята опасно опасно ,но круто, я потом ещё 2 раза покаталась",positive
куштыы маган унады,positive
"Здесь легко забыть о времени, наслаждаясь веселой атмосферой и яркими эмоциями 🥰",positive
,positive
Айя уже не та,neutral
"Анаконда лучшая что было на свете
Фантастический парк советую",positive
"Люблб этот парк, но очередь очень длинная можно простоять очень долго😵",positive
😍😍😍😍😍😍😍😍😍 куштиии унады ракмееет,positive
"что попало вата - это сплошной сахар у входа смотриться как проходной двор, уберите их!",negative
,positive
Немне қалай қалай біреуі ағылшынша біреуі орысша,positive
Просто жанынан өтіп едмго,positive
Кайф чувствую страшно отлично,positive
"Раньше очень нравилось , и детям было веселее . Сейчас совсем не то . Цены повышаются , но ничего не меняется .",neutral
,positive
зимой не работает,positive
Сотрудники грубые,neutral
"ОБОЖАЮ МИР ФАНТАЗИЙ !!! АТТРАКЦИОНЫ ЛУЧШИЕ ТАК ЕЩЁ И ЭКСТРЕМАЛЬНЫЕ,ЦЕНА СПРАВЕДЛИВАЯ. КАРОЧЕ ЛЮБЛЮ ЭТО МЕСТО",positive
"Норм, но не то что раньше",neutral
Очень классное место мы с братом каждое лето ходим,positive
Парк аттракционов для всех 🎠🎢🎡,positive
